antecedents,consequents,support,confidence,lift
"No Screening Questions, Suspicious Keywords Present, Missing Company Profile","Fraudulent, Missing Logo, Salary Not Mentioned",0.005984340044742729,0.7588652482269502,27.634441218529265
"No Screening Questions, Suspicious Keywords Present, Missing Logo","Fraudulent, Salary Not Mentioned, Missing Company Profile",0.005984340044742729,0.6948051948051948,24.996211032428334
"Suspicious Keywords Present, Missing Company Profile","Fraudulent, No Screening Questions, Missing Logo, Salary Not Mentioned",0.005984340044742729,0.5944444444444444,24.891491022638565
"Suspicious Keywords Present, Salary Not Mentioned, Missing Company Profile","Fraudulent, No Screening Questions, Missing Logo",0.005984340044742729,0.6815286624203821,24.868841804237615
"Suspicious Keywords Present, Missing Logo","Fraudulent, No Screening Questions, Salary Not Mentioned, Missing Company Profile",0.005984340044742729,0.5911602209944752,24.696132596685086
"No Screening Questions, Suspicious Keywords Present, Salary Not Mentioned, Missing Company Profile","Fraudulent, Missing Logo",0.005984340044742729,0.7985074626865671,24.48938839251427
"Suspicious Keywords Present, Missing Logo, Salary Not Mentioned","Fraudulent, No Screening Questions, Missing Company Profile",0.005984340044742729,0.656441717791411,24.051594086291864
"Suspicious Keywords Present, Missing Logo, Missing Company Profile","Fraudulent, No Screening Questions, Salary Not Mentioned",0.005984340044742729,0.6729559748427673,23.639396522964006
"No Screening Questions, Suspicious Keywords Present, Missing Company Profile","Fraudulent, Missing Logo",0.005984340044742729,0.7588652482269502,23.27360315316959
"Suspicious Keywords Present, Missing Company Profile","Fraudulent, Missing Logo, Salary Not Mentioned",0.006319910514541387,0.6277777777777778,22.860828241683638
"Suspicious Keywords Present, Missing Logo","Fraudulent, Salary Not Mentioned, Missing Company Profile",0.006319910514541387,0.6243093922651933,22.46006425292084
"No Screening Questions, Suspicious Keywords Present, Missing Logo, Salary Not Mentioned","Fraudulent, Missing Company Profile",0.005984340044742729,0.7278911564625851,22.171539825470223
"Suspicious Keywords Present, Salary Not Mentioned, Missing Company Profile","Fraudulent, Missing Logo",0.006319910514541387,0.7197452229299364,22.07383290906906
"Suspicious Keywords Present, Missing Logo, Salary Not Mentioned, Missing Company Profile","Fraudulent, No Screening Questions",0.005984340044742729,0.7535211267605633,21.87168465337479
"Suspicious Keywords Present, Missing Company Profile","Fraudulent, No Screening Questions, Missing Logo",0.005984340044742729,0.5944444444444444,21.691156462585035
"Suspicious Keywords Present, Missing Company Profile","Fraudulent, No Screening Questions, Salary Not Mentioned",0.006208053691275168,0.6166666666666667,21.662082514734774
"Suspicious Keywords Present, Missing Logo","Fraudulent, No Screening Questions, Missing Company Profile",0.005984340044742729,0.5911602209944752,21.659722851191017
"No Screening Questions, Suspicious Keywords Present, Missing Logo, Missing Company Profile","Fraudulent, Salary Not Mentioned",0.005984340044742729,0.8045112781954886,21.501736403789742
"No Screening Questions, Suspicious Keywords Present, Missing Logo","Fraudulent, Missing Company Profile",0.005984340044742729,0.6948051948051948,21.16374256067612
"Suspicious Keywords Present, Missing Logo, Salary Not Mentioned","Fraudulent, Missing Company Profile",0.006319910514541387,0.6932515337423313,21.116418097636938
